hero,cc_avg_time_avengers,img_path
Iron Man,1661,img/iron_man.jpg
Captain America,1320,img/captain_america.jpg
Hulk,1069,img/hulk.jpg
Thor,1016,img/thor.jpg
Black Widow,956,img/black_widow.jpg
Hawkeye,915,img/hawkeye.jpg
Ant-Man,795,img/ant_man.jpg
Gamora,743,img/gamora.jpg
Thanos,656,img/thanos.jpg
Quicksilver,600,img/quicksilver.jpg
